title,郵便番号,都道府県名,市名,区名,address,電話番号,FAX番号,lat,lng,ホームページURL,id,避難所種別（風水害）,避難所種別（地震）
三宝小学校,590-0906,大阪府,堺市,堺区,大阪府堺市堺区三宝町5丁286番地,072-238-0001,,34.59364358,135.472424,,1,有,有
錦西小学校,590-0938,大阪府,堺市,堺区,大阪府堺市堺区神明町西2丁1番1号,072-232-1056,,34.5849452,135.4784813,,2,有,有
市小学校,590-0951,大阪府,堺市,堺区,大阪府堺市堺区市之町西3丁1番14号,072-223-4610,,34.58012028,135.4704437,,3,有,有
錦綾小学校,590-0006,大阪府,堺市,堺区,大阪府堺市堺区錦綾町1丁6番19号,072-228-5183,,34.58575739,135.485712,,4,有,有
浅香山小学校,590-0018,大阪府,堺市,堺区,大阪府堺市堺区今池町5丁4番43号,072-238-0003,,34.58611592,135.4945995,,5,有,有
錦小学校,590-0934,大阪府,堺市,堺区,大阪府堺市堺区九間町東3丁1番17号,072-232-1036,,34.58445369,135.4828627,,6,有,有
熊野小学校,590-0946,大阪府,堺市,堺区,大阪府堺市堺区熊野町東5丁1番49号,072-233-3227,,34.57603182,135.4793786,,7,有,有
榎小学校,590-0027,大阪府,堺市,堺区,大阪府堺市堺区榎元町2丁3番11号,072-233-2552,,34.57021481,135.4855827,,8,有,有
三国丘小学校,590-0021,大阪府,堺市,堺区,大阪府堺市堺区北三国ヶ丘町5丁1番1号,072-232-2818,,34.57481091,135.4923824,,9,有,有
英彰小学校,590-0961,大阪府,堺市,堺区,大阪府堺市堺区寺地町西4丁1番1号,072-221-8666,,34.57628903,135.4654575,,10,有,有
旧湊小学校,590-0829,大阪府,堺市,堺区,大阪府堺市堺区東湊町2丁119番地,,,34.56807535,135.4663082,,11,有,有
新湊小学校,590-0835,大阪府,堺市,堺区,大阪府堺市堺区西湊町6丁6番1号,072-244-6776,,34.56610356,135.46098,,12,有,有
少林寺小学校,590-0963,大阪府,堺市,堺区,大阪府堺市堺区少林寺町東4丁1番1号,072-232-1126,,34.57106945,135.4720144,,13,有,有
安井小学校,590-0064,大阪府,堺市,堺区,大阪府堺市堺区南安井町4丁1番5号,072-238-5341,,34.57062702,135.4779388,,14,有,有
大仙西小学校,590-0821,大阪府,堺市,堺区,大阪府堺市堺区大仙西町4丁129番地,072-241-2977,,34.56436868,135.4722029,,15,有,有
神石小学校,590-0814,大阪府,堺市,堺区,大阪府堺市堺区石津町2丁6番1号,072-241-2151,,34.55463956,135.4666616,,16,有,有
大仙小学校,590-0801,大阪府,堺市,堺区,大阪府堺市堺区大仙中町16番1号,072-241-0888,,34.5605928,135.4787391,,17,有,有
浜寺石津小学校,592-8334,大阪府,堺市,西区,大阪府堺市西区浜寺石津町中2丁3番28号,072-241-6505,,34.55975017,135.4550631,,18,有,有
浜寺東小学校,592-8341,大阪府,堺市,西区,大阪府堺市西区浜寺船尾町東1丁101番地,072-265-1141,,34.55130459,135.4581056,,19,有,有
